FAMID	ID	PID	MID	SEX	POP	POP_SIMPLE	COUNTRY	SPOP	CONTINENT	ORDER	POP_ORDER	SPOP_ORDER	POP_COLOR	SPOP_COLOR
HG02768	HG02768	0	0	1	GWD	Gambian	Mandinka	AFR	Africa	1071	2	3	#ffb900	#ffeb33
HG02769	HG02769	0	0	2	GWD	Gambian	Mandinka	AFR	Africa	1072	2	3	#ffb900	#ffeb33
HG02771	HG02771	0	0	1	GWD	Gambian	Mandinka	AFR	Africa	1073	2	3	#ffb900	#ffeb33
HG02772	HG02772	0	0	2	GWD	Gambian	Mandinka	AFR	Africa	1074	2	3	#ffb900	#ffeb33
HG02774	HG02774	0	0	1	PJL	Punjabi	Pakistan	SAS	South_Asia	1075	25	2	#e11289	#ff30ff
HG02775	HG02775	0	0	2	PJL	Punjabi	Pakistan	SAS	South_Asia	1076	25	2	#e11289	#ff30ff
HG02778	HG02778	0	0	2	PJL	Punjabi	Pakistan	SAS	South_Asia	1077	25	2	#e11289	#ff30ff
HG02780	HG02780	0	0	1	PJL	Punjabi	Pakistan	SAS	South_Asia	1078	25	2	#e11289	#ff30ff
HG02783	HG02783	0	0	1	PJL	Punjabi	Pakistan	SAS	South_Asia	1079	25	2	#e11289	#ff30ff
HG02784	HG02784	0	0	2	PJL	Punjabi	Pakistan	SAS	South_Asia	1080	25	2	#e11289	#ff30ff
HG02786	HG02786	0	0	1	PJL	Punjabi	Pakistan	SAS	South_Asia	1081	25	2	#e11289	#ff30ff
HG02787	HG02787	0	0	2	PJL	Punjabi	Pakistan	SAS	South_Asia	1082	25	2	#e11289	#ff30ff
HG02789	HG02789	0	0	1	PJL	Punjabi	Pakistan	SAS	South_Asia	1083	25	2	#e11289	#ff30ff
HG02790	HG02790	0	0	2	PJL	Punjabi	Pakistan	SAS	South_Asia	1084	25	2	#e11289	#ff30ff
HG02792	HG02792	0	0	1	PJL	Punjabi	Pakistan	SAS	South_Asia	1085	25	2	#e11289	#ff30ff
HG02793	HG02793	0	0	2	PJL	Punjabi	Pakistan	SAS	South_Asia	1086	25	2	#e11289	#ff30ff
HG02798	HG02798	0	0	1	GWD	Gambian	Mandinka	AFR	Africa	1087	2	3	#ffb900	#ffeb33
HG02799	HG02799	0	0	2	GWD	Gambian	Mandinka	AFR	Africa	1088	2	3	#ffb900	#ffeb33
HG02804	HG02804	0	0	1	GWD	Gambian	Mandinka	AFR	Africa	1089	2	3	#ffb900	#ffeb33
HG02805	HG02805	0	0	2	GWD	Gambian	Mandinka	AFR	Africa	1090	2	3	#ffb900	#ffeb33
HG02807	HG02807	0	0	1	GWD	Gambian	Mandinka	AFR	Africa	1091	2	3	#ffb900	#ffeb33
HG02808	HG02808	0	0	2	GWD	Gambian	Mandinka	AFR	Africa	1092	2	3	#ffb900	#ffeb33
HG02810	HG02810	0	0	1	GWD	Gambian	Mandinka	AFR	Africa	1093	2	3	#ffb900	#ffeb33
HG02811	HG02811	0	0	2	GWD	Gambian	Mandinka	AFR	Africa	1094	2	3	#ffb900	#ffeb33
HG02813	HG02813	0	0	1	GWD	Gambian	Mandinka	AFR	Africa	1095	2	3	#ffb900	#ffeb33
